,row,col,code,name
1,1,7,,철원
2,1,8,,화천
3,1,9,,양구
4,1,10,,고성(강원)
5,2,6,,서울도봉
6,2,7,,서울노원
7,2,8,,연천
8,2,9,,포천
9,2,10,,속초
10,3,4,,파주
11,3,5,,고양
12,3,6,,서울강북
13,3,7,,서울성북
14,3,8,,동두천
15,3,9,,양주
16,3,10,,인제
17,3,11,,양양
18,4,2,,인천강화
19,4,3,,김포
20,4,4,,광명
21,4,5,,서울은평
22,4,6,,서울서대문
23,4,7,,서울종로
24,4,8,,의정부
25,4,9,,남양주
26,4,10,,가평
27,4,11,,춘천
28,5,2,,인천서구
29,5,3,,부천
30,5,4,,안양
31,5,5,,서울강서
32,5,6,,서울마포
33,5,7,,서울중구
34,5,8,,서울동대문
35,5,9,,서울중랑
36,5,10,,구리
37,5,11,,홍천
38,5,12,,강릉
39,6,2,,인천동구
40,6,3,,인천계양
41,6,4,,시흥
42,6,5,,서울양천
43,6,6,,서울동작
44,6,7,,서울용산
45,6,8,,서울성동
46,6,9,,서울강동
47,6,10,,하남
48,6,11,,횡성
49,6,12,,동해
50,7,3,,인천부평
51,7,4,,안산
52,7,5,,서울영등포
53,7,6,,서울관악
54,7,7,,서울서초
55,7,8,,서울광진
56,7,9,,서울송파
57,7,10,,양평
58,7,11,,평창
59,7,12,,정선
60,7,14,,울릉
61,7,15,,독도
62,8,2,,인천중구
63,8,3,,인천남구
64,8,4,,화성
65,8,5,,서울구로
66,8,6,,서울금천
67,8,7,,서울강남
68,8,8,,과천
69,8,9,,광주
70,8,10,,여주
71,8,11,,원주
72,8,12,,태백
73,9,2,,인천연수
74,9,3,,인천남동
75,9,4,,오산
76,9,5,,안성
77,9,6,,군포
78,9,7,,의왕
79,9,8,,성남
80,9,9,,이천
81,9,10,,문경
82,9,11,,영월
83,9,12,,삼척
84,10,1,,인천옹진
85,10,2,,태안
86,10,3,,당진
87,10,4,,아산
88,10,5,,천안
89,10,6,,평택
90,10,7,,수원
91,10,8,,용인
92,10,9,,상주
93,10,10,,예천
94,10,11,,영주
95,10,12,,봉화
96,10,13,,울진
97,11,2,,서산
98,11,3,,홍성
99,11,4,,예산
100,11,5,,공주
101,11,6,,음성
102,11,7,,충주
103,11,8,,단양
104,11,9,,제천
105,11,10,,구미
106,11,11,,안동
107,11,12,,영양
108,11,13,,영덕
109,12,3,,보령
110,12,4,,청양
111,12,5,,세종
112,12,6,,진천
113,12,7,,증평
114,12,8,,괴산
115,12,9,,김천
116,12,10,,군위
117,12,11,,의성
118,12,12,,청송
119,12,13,,포항
120,13,3,,부여
121,13,4,,논산
122,13,5,,계룡
123,13,6,,대전대덕
124,13,7,,청주
125,13,8,,보은
126,13,9,,성주
127,13,10,,칠곡
128,13,11,,영천
129,13,12,,경산
130,13,13,,경주
131,14,3,,서천
132,14,4,,금산
133,14,5,,대전유성
134,14,6,,대전동구
135,14,7,,옥천
136,14,8,,고령
137,14,9,,청도
138,14,10,,대구북구
139,14,11,,대구중구
140,14,12,,대구동구
141,14,13,,울산북구
142,15,3,,군산
143,15,4,,익산
144,15,5,,대전서구
145,15,6,,대전중구
146,15,7,,영동
147,15,8,,합천
148,15,9,,대구서구
149,15,10,,대구남구
150,15,11,,대구수성
151,15,12,,울산중구
152,15,13,,울산동구
153,16,3,,부안
154,16,4,,김제
155,16,5,,완주
156,16,6,,무주
157,16,7,,거창
158,16,8,,창녕
159,16,9,,대구달서
160,16,10,,대구달성
161,16,11,,부산금정
162,16,12,,울산울주
163,16,13,,울산남구
164,17,2,,고창
165,17,3,,정읍
166,17,4,,전주
167,17,5,,진안
168,17,6,,장수
169,17,7,,함양
170,17,8,,의령
171,17,9,,밀양
172,17,10,,부산북구
173,17,11,,부산부산진
174,17,12,,부산동래
175,17,13,,부산기장
176,18,2,,영광
177,18,3,,장성
178,18,4,,순창
179,18,5,,임실
180,18,6,,남원
181,18,7,,진주
182,18,8,,함안
183,18,9,,양산
184,18,10,,부산사상
185,18,11,,부산동구
186,18,12,,부산연제
187,18,13,,부산해운대
188,19,2,,함평
189,19,3,,담양
190,19,4,,곡성
191,19,5,,구례
192,19,6,,산청
193,19,7,,사천
194,19,8,,창원
195,19,9,,부산강서
196,19,10,,부산서구
197,19,11,,부산중구
198,19,12,,부산수영
199,20,1,,신안
200,20,2,,무안
201,20,3,,광주광산
202,20,4,,광주북구
203,20,5,,화순
204,20,6,,하동
205,20,7,,남해
206,20,8,,고성(경남)
207,20,9,,김해
208,20,10,,부산사하
209,20,11,,부산영도
210,20,12,,부산남구
211,21,1,,목포
212,21,2,,나주
213,21,3,,광주서구
214,21,4,,광주동구
215,21,5,,순천
216,21,6,,광양
217,21,9,,통영
218,21,10,,거제
219,22,1,,해남
220,22,2,,영암
221,22,3,,광주남구
222,22,4,,보성
223,22,5,,여수
224,23,1,,진도
225,23,2,,강진
226,23,3,,장흥
227,23,4,,고흥
228,24,3,,완도
229,25,5,,제주
230,26,5,,서귀포
